code,term,definition,comment
12106000,Radionuclide generator,A system incorporating a fixed parent radionuclide from which is produced a daughter radionuclide which is to be removed by elution or by any other method and used in a radiopharmaceutical.,
12107000,Kit for radiopharmaceutical preparation,"A preparation to be reconstituted or combined with radionuclides in the final radiopharmaceutical, usually prior to its administration. The word radiopharmaceutical may be omitted if there is no ambiguity on the radiopharmaceutical nature of the product. Combinations with other standard terms are not recommended.",
12108000,Gastroenteral solution,Liquid preparation consisting of a solution intended for administration to the stomach or duodenum by means of a suitable applicator.,
12109000,Dispersion,A system consisting of 2 or more phases. To be used only when suspension or emulsion is not appropriate.,"Use discouraged. This term does not describe a pharmaceutical dose form since it does not include any information relating to its intended use, and specific terms such as 'Dispersion for infusion', 'Dispersion for injection' and 'Bee-hive dispersion' are to be used instead."
12109900,Frozen solution for sealant,,Term rejected. Storage conditions such as 'frozen' are not appropriate when describing Standard Terms.
12110000,Gastroenteral suspension,Liquid preparation consisting of a suspension intended for administration to the stomach or duodenum by means of a suitable applicator.,
12111000,Gastroenteral emulsion,Liquid preparation consisting of an emulsion intended for administration to the stomach or duodenum by means of a suitable applicator.,
12111500,Intraperitoneal solution,Liquid sterile preparation consisting of a solution intended for intraperitoneal use. 'Solution for peritoneal dialysis' is excluded.,
12112000,Solution for organ preservation,"Liquid sterile preparation consisting of an aqueous solution of electrolytes typically at a concentration close to the intracellular electrolyte composition, intended for storage, protection and/or perfusion of mammalian body organs that are in particular destined for transplantation.",
12113000,Irrigation solution,"Liquid sterile preparation consisting of a large-volume aqueous solution intended for irrigation of body cavities, wounds and surfaces, for example during surgical procedures. Irrigation solutions are either solutions of active substance(s), electrolytes or osmotically active substances in water for injections, or they consist of water for injections as such.",
12114000,Stomach irrigation,Liquid sterile preparation consisting of an aqueous solution intended for irrigation of the stomach.,
12115000,Sealant,"Liquid, more or less viscous, sterile preparation intended for use as tissue glue.",
12115100,Sealant matrix,"Solid sterile preparation consisting of a pliable piece of material impregnated or coated with a sealant or with a powder that forms a sealant after contact with an appropriate fluid (e.g. blood). It may act as a haemostatic agent and/or tissue glue. The matrix may itself form part of the seal, and is usually absorbed by the body over time.",
12115200,Sealant powder,"Solid sterile preparation consisting of one or more powders, including freeze-dried powders, intended to be applied directly onto the intended site (e.g. a lesion) to form a haemostatic agent and/or tissue glue after contact with an appropriate fluid (e.g. blood).",Please note that this term is not equivalent to the term 'Powder for sealant'.
12115500,Solution for perfusion of organs,,"Term rejected. Such uses are covered by the term 'Solution for organ preservation', and specific uses should be explained in the product information."
12117000,Impregnated pad,Solid preparation consisting of a piece of absorbent material impregnated with a liquid preparation. Impregnated cutaneous swab is excluded.,
12117500,Impregnated plug,"Solid preparation consisting of a piece of material (e.g. polyethylene), usually porous, in which a liquid, semi-solid or solid preparation is impregnated. Implants, pads, sponges and tampons are excluded.",
12118000,Living tissue equivalent,"Cultured, living tissue used for the reconstruction of parts of the body. The tissue may consist of ex vivo expanded cells with an extracellular matrix. Where appropriate, the tissue of origin, such as epidermis, dermis, cartilage or muscle, will need to be stated elsewhere in the product information.",
12118500,Lyophilisate for oculonasal suspension,Solid preparation for veterinary use consisting of a freeze-dried powder intended to be dispersed in the specified liquid to create a suspension for oculonasal use.,
12119000,Medicated sponge,Solid preparation consisting of a sponge impregnated with active substance(s); different routes of administration are possible.,Replaces 'cutaneous sponge' and 'vaginal sponge'.
12120000,Intestinal gel,Semi-solid preparation consisting of a gel intended for intestinal use.,
12130000,Medicated thread,Solid preparation consisting of a biodegradable or non-degradable thread impregnated with active substance(s).,
12131000,Solution for provocation test,"Liquid preparation consisting of a solution containing an allergen intended for provocation testing by the nasal, ocular or bronchial routes.",
12301000,"Medicinal gas, compressed",A gas packaged under pressure which is entirely gaseous at - 50 °C.,
12302000,"Medicinal gas, cryogenic",A gas which liquifies at 1.013 bar at a temperature below -150 °C.,
12303000,"Medicinal gas, liquefied","A gas packaged under pressure, which is partially liquid (gas over liquid) at -50 °C.",
13001000,Concentrate for concentrate for solution for infusion,"Liquid sterile preparation intended to be diluted in the specified liquid to obtain a concentrate for solution for infusion, which in turn is intended to be diluted in the specified liquid to obtain a solution for infusion.","This term is only to be used in cases where, for safety reasons, both dilution steps must always be carried out before administration."
13002000,Concentrate for nebuliser solution,Liquid preparation intended to be diluted in the specified liquid to obtain a nebuliser solution.,
13003000,Concentrate for oromucosal solution,Liquid preparation intended to be diluted in the specified liquid to obtain an oromucosal solution.,
13004000,Concentrate for suspension for injection,Liquid sterile preparation intended to be diluted in the specified liquid to obtain a suspension for injection.,
13005000,Dispersion for concentrate for dispersion for infusion,"Liquid sterile preparation consisting of a dispersion intended for use in the preparation of a concentrate for dispersion for infusion, which in turn is intended to be diluted in the specified liquid to obtain a dispersion for infusion.",
13006000,"Ear drops, powder for suspension","Solid preparation consisting of one or more powders, including freeze-dried powders, intended to be dispersed in the specified liquid to obtain an ear drops suspension.",
13007000,Effervescent granules for oral suspension,"Solid preparation consisting of effervescent granules intended to be dispersed or dissolved in the specified liquid, which is supplied in the same packaging, to obtain an oral suspension. Where the granules are intended to be dispersed in water, the term 'Effervescent granules' is used instead.",
13008000,Emulsion for emulsion for injection,Liquid sterile preparation consisting of an emulsion intended for use in the preparation of an emulsion for injection.,
13009000,"Endotracheopulmonary instillation, powder for suspension","Solid preparation consisting of one or more powders, including freeze-dried powders, intended to be dispersed in the specified liquid to obtain an endotracheopulmonary instillation suspension.",
13010000,"Eye drops, powder for solution","Solid sterile preparation consisting of one or more powders, including freeze-dried powders, intended to be dissolved in the specified liquid to obtain an eye drops solution.",
13011000,"Eye drops, powder for suspension","Solid preparation consisting of one or more powders, including freeze-dried powders, intended to be dispersed in the specified liquid to obtain an eye drops suspension.",
13012000,Gas for dispersion for infusion,"Sterile preparation consisting of a gas that is intended to be mixed with the specified liquid to obtain a dispersion of the gas in the liquid, which is intended for administration by infusion.",
13013000,Gas for dispersion for injection,"Sterile preparation consisting of a gas that is intended to be mixed with the specified liquid to obtain a dispersion of the gas in the liquid, which is intended for administration by injection.",
13014000,Gel for gel,Semi-solid preparation consisting of a gel intended for use in the preparation of a gel for cutaneous use.,
13015000,Granules for rectal suspension,"Solid preparation consisting of aggregated particles that may include excipients to facilitate wetting and dispersion, intended to be dispersed in the specified liquid to obtain a rectal suspension, which is usually prepared just before administration to the patient.",
13016000,Laryngopharyngeal solution,"Liquid preparation consisting of a solution intended for administration to the laryngopharynx for a local effect, other than by spraying.","'Laryngopharyngeal spray, solution' is excluded."
13017000,"Laryngopharyngeal spray, solution",Liquid preparation consisting of a solution intended for spraying onto the laryngopharynx for a local effect.,'Laryngopharyngeal solution' is excluded.
13018000,Matrix for implantation matrix,"Solid sterile preparation consisting of a usually pliable, absorbent piece of material (e.g. collagen) intended to be used in the preparation of an implantation matrix.",
13019000,"Nasal drops, lyophilisate for suspension",Solid preparation for veterinary use consisting of a freeze-dried powder intended to be dispersed in the specified liquid to obtain a suspension for use as nasal drops.,
13020000,"Nasal drops, powder for solution","Solid preparation consisting of one or more powders, including freeze-dried powders, intended to be dissolved in the specified liquid to obtain a nasal drops solution.",
13021000,Powder for gel,Solid preparation consisting of one or more powders intended to be mixed with the specified liquid or gel to obtain a gel (for cutaneous use).,
13022000,Powder for dental gel,Solid preparation consisting of one or more powders intended to be mixed with the specified liquid or gel to obtain a dental gel.,
13023000,Powder for dispersion for injection,"Solid sterile preparation consisting of one or more powders, including freeze-dried powders, intended to be dispersed in the specified liquid to obtain a dispersion for injection.",
13024000,Powder for endocervical gel,Solid preparation consisting of one or more powders intended to be mixed with the specified liquid or gel to obtain an endocervical gel.,
13025000,Powder for endosinusial solution,"Solid preparation consisting of one or more powders, including freeze-dried powders, intended to be dissolved in the specified liquid to obtain an endosinusial solution.",
13026000,Powder for gingival gel,Solid preparation consisting of one or more powders intended to be mixed with the specified liquid or gel to obtain a gingival gel.,
13027000,Powder for implantation matrix,"Solid sterile preparation consisting of one or more powders, including freeze-dried powders, intended to be used in the preparation of an implantation matrix, e.g. by dissolving in the specified liquid to prepare the solution used to impregnate the matrix.",
13028000,Powder for implantation paste,Solid sterile preparation consisting of one or more powders intended to be mixed with the specified liquid or paste to obtain an implantation paste.,
13029000,Powder for intraocular instillation solution,"Solid sterile preparation consisting of one or more powders, including freeze-dried powders, intended to be dissolved in the specified liquid to obtain an intraocular instillation solution.",
13031000,Powder for sealant,"Solid sterile preparation consisting of one or more powders, including freeze-dried powders, intended to be dissolved in the specified liquid to obtain a sealant.",Please note that this term is not equivalent to the term 'Sealant powder'.
13032000,Powder for solution for skin-prick test,"Solid sterile preparation consisting of one or more powders, including freeze-dried powders, intended to be dissolved in the specified liquid to obtain a solution for skin-prick test.",
13033000,Solution for solution for injection,Liquid sterile preparation consisting of a solution intended for use in the preparation of a solution for injection.,
13034000,Solution for spray,Liquid preparation consisting of a solution intended for use in the preparation of a spray.,
13035000,Solvent for...,"Liquid preparation consisting of an excipient that contains no active substances itself but is intended to be used in the preparation of a pharmaceutical product, e.g. for diluting/dissolving/dispersing the item(s) containing the active substance(s). The term is intended to cover all such excipients, with the particular specifications (e.g. sterility requirements) depending on the final product and its intended use.","For labelling purposes, the term should be completed by appending the name of the medicinal product that it is used to prepare, i.e. 'Solvent for [PRODUCT NAME]'."
13036000,Suspension for emulsion for injection,Liquid sterile preparation consisting of a suspension intended for use in the preparation of an emulsion for injection.,
13037000,Suspension for oral suspension,Liquid preparation consisting of a suspension intended for use in the preparation of an oral suspension.,
13038000,Suspension for spray,Liquid preparation consisting of a suspension intended for use in the preparation of a spray.,
13039000,Suspension for suspension for injection,Liquid sterile preparation consisting of a suspension intended for use in the preparation of a suspension for injection.,
13040000,Powder for emulsion for injection,"Solid sterile preparation consisting of one or more powders, including freeze-dried powders, intended to be mixed with the specified liquid to obtain an emulsion for injection.",
13041000,Endosinusial solution,Liquid preparation consisting of a solution intended to be administered to the sinuses to obtain a local effect.,
13042000,Epilesional solution,Liquid sterile preparation consisting of a solution intended to be administered onto a lesion.,
13043000,Implantation paste,"Semi-solid sterile preparation containing large proportions of solids finely dispersed in the basis, intended to be implanted in the body for release of the active substance(s) over an extended period of time, usually to obtain a systemic effect.",
13044000,Intraocular instillation solution,Liquid sterile preparation consisting of a solution intended to be instilled as drops into an internal part of the eye.,"'Eye drops, solution' and 'Solution for intraocular irrigation' are excluded."
13045000,Intravesical suspension,Liquid preparation consisting of a small-volume suspension intended for intravesical use by means of a suitable applicator.,Products for bladder irrigation are excluded.
13046000,Coated granules,"Solid preparation intended for oral use, consisting of granules coated with one or more layers of mixtures of various substances that are usually applied as a solution or suspension in conditions in which evaporation of the vehicle occurs. The thickness of the coating is greater than that of film-coated granules. When the coating dissolves or disintegrates any active substance is released into the gastrointestinal fluid at a rate depending essentially on its intrinsic properties (conventional release).",
13047000,Solution for suspension for injection,Liquid sterile preparation consisting of a solution intended for use in the preparation of a suspension for injection.,
13048000,Granules for suspension for injection,Solid sterile preparation consisting of granules intended to be dispersed in the specified liquid to obtain a suspension for injection.,
13049000,Dispersion for injection/infusion,"Sterile liquid preparation consisting of two or more phases of which at least one is dispersed in the liquid phase, intended for administration by injection or infusion. To be used only when emulsion for injection/infusion is not appropriate. Solid suspension preparations are excluded.",
13050000,Gas for dispersion for injection/infusion,"Sterile preparation consisting of a gas that is intended to be mixed with the specified liquid to obtain a dispersion of the gas in the liquid, which is intended for administration by injection or infusion.",
13051000,Solution for injection/skin-prick test,Liquid sterile preparation consisting of a solution containing an allergen product intended for diagnostic use in a skin-prick test or as an injection (usually intraepidermal); it may also be licensed for immunotherapy treatment by injection (usually subcutaneous).,
13052000,Powder for solution for injection/skin-prick test,"Solid sterile preparation consisting of one or more powders, including freeze-dried powders, intended to be dissolved in the specified liquid to obtain a solution for injection/skin-prick test.",
13054000,Solution for bee-hive strip,Liquid preparation consisting of a solution intended for use in the preparation of a bee-hive strip by application to an absorbent matrix; the bee-hive strip is usually used immediately after preparation.,
13055000,Solution for use in drinking water/milk,"Solution for veterinary use, intended for administration by incorporation into the animal drinking water, milk or milk replacer. If direct oral administration to individual animals is also authorised, the method of administration, including any necessary dilution, is clearly described in the product information.",
13056000,Powder for solution for fish treatment,Powder to be used to produce a solution intended for the treatment of fish by immersion.,
13058000,Caplet,,Term rejected.
13061000,Solution for solution for infusion,Liquid sterile preparation consisting of a solution intended for use in the preparation of a solution for infusion.,"The precise use of the product is specified in the product information. For example, it might be added to an infusion bag to act as a stabiliser prior to the addition of a concentrate for solution for infusion."
13065000,Intramammary gel,Semi-solid preparation for veterinary use consisting of a gel containing dissolved or dispersed active substance(s) intended for intramammary use. Intramammary gels are presented in intramammary syringes for use on one occasion only to introduce the gel into a single teat canal.,
13066000,Tablet for cutaneous solution,"Solid, usually single-dose preparation consisting of a tablet, usually uncoated, intended to be dissolved in the specified liquid to obtain a cutaneous solution.",
13067000,Lyophilisate for oral suspension,Solid preparation for veterinary use consisting of a freeze-dried powder intended to be dispersed in the specified liquid to create an oral suspension.,
13076000,Prolonged-release solution for injection,Liquid sterile preparation consisting of a solution intended for administration by injection; the active substance(s) are released over an extended period of time.,
13077000,Urethral emulsion,Liquid preparation consisting of an emulsion intended for urethral use by means of a suitable applicator.,
13078000,Bee-hive solution,"Liquid preparation intended for in-hive use, consisting of a solution from which the active substance(s) are released by vaporisation or physical contact usually over an extended period of time. The precise method of administration of the solution is described in the product information.",
13079000,Powder for bee-hive solution,"Solid preparation consisting of one or more powders, including freeze-dried powders, intended to be dissolved in the specified liquid to obtain a bee-hive solution.",
13080000,Solution for bee-hive solution,Liquid preparation consisting of a solution intended for use in the preparation of a bee-hive solution.,
13082000,Bee-hive dispersion,"Liquid preparation intended for in-hive use, consisting of two or more phases, at least one of which is dispersed in the liquid phase, from which the active substance(s) are released by vaporisation or physical contact usually over an extended period of time. The precise method of administration of the dispersion is described in the product information.",The term 'dispersion' is to be used only when 'suspension' or 'emulsion' are not appropriate.
13084000,"Oral spray, suspension","Liquid, usually multidose preparation for veterinary use consisting of a suspension intended for oral use. It is administered by spraying, including by spraying as coarse droplets over the animal(s), which then consume the product, for example during preening.",
13085000,"Concentrate for concentrate for oral spray, suspension","Liquid preparation for veterinary use intended to be diluted in the specified liquid to obtain a concentrate for oral spray, suspension, which in turn is intended to be diluted in the specified liquid to obtain an oral spray, suspension.","This term is only to be used in cases where, for safety reasons, both dilution steps must always be carried out before administration."
13087000,Oculonasal suspension,"Liquid, usually multidose preparation for veterinary use consisting of a suspension intended for oculonasal use.",
13089000,"Lyophilisate for oral spray, suspension","Solid preparation for veterinary use consisting of a freeze-dried powder intended to be dispersed in the specified liquid to obtain an oral spray, suspension.",
13091000,Emulsion for suspension for injection,Liquid sterile preparation consisting of an emulsion intended for use in the preparation of a suspension for injection.,
13096000,"Nasal spray, lyophilisate for suspension","Solid preparation for veterinary use consisting of a freeze-dried powder intended to be dispersed in the specified liquid to obtain a nasal spray, suspension.",
13098000,Lyophilisate for oculonasal suspension/use in drinking water,"Solid preparation for veterinary use consisting of a freeze-dried powder intended to be dispersed in the specified liquid to create a suspension for oculonasal use, or to be dispersed in the animal drinking water.",This term is only to be used in cases where there is not a single predominant method of administration for the medicinal product.
13099000,Powder for bee-hive dispersion,"Solid preparation consisting of one or more powders, including freeze-dried powders, intended to be mixed with the specified liquid to obtain a bee-hive dispersion.",
13100000,Solution for bee-hive dispersion,Liquid preparation consisting of a solution intended for use in the preparation of a bee-hive dispersion.,
13102000,Transdermal ointment,"Semi-solid single-dose or multidose preparation consisting of a single-phase basis in which solids or liquids may be dispersed. Active substance(s) are dissolved or dispersed in the basis, which may be hydrophilic, hydrophobic or water-emulsifying. Transdermal ointments are intended for transdermal use.",
13105000,Sublingual powder,Solid preparation consisting of a powder intended for sublingual use.,
13106000,Oral herbal material,"Solid preparation consisting of whole, broken or fragmented plants or parts of plants in an unprocessed state (herbal drug), intended for oral use without requiring transformation (e.g. dissolution or dispersion in water); the material may be dried or fresh, and may be chewed before being swallowed. The word ‘plant’ is used in the broader sense to include also algae, fungi and lichens. Certain exudates that have not been subjected to a specific treatment may be included. Herbal teas and instant herbal teas are excluded, as are preparations that are processed or formulated into capsules, granules, powders, etc.",
13107000,Solution for cardioplegia/organ preservation,"Liquid sterile preparation consisting of an aqueous solution of electrolytes typically at a concentration close to the intracellular electrolyte composition, intended for inducing cardiac arrest during heart surgery, and for storage, protection and/or perfusion of mammalian body organs that are in particular destined for transplantation.",
13111000,Powder for vaginal solution,"Solid preparation consisting of one or more powders, including freeze-dried powders, intended to be dissolved in the specified liquid to obtain a vaginal solution.",
13113000,Intrauterine gel,Semi-solid preparation consisting of a gel intended for intrauterine use.,This also covers products that are intended for both endocervical and intrauterine use.
13115000,Medicinal leech,"Whole, live, medicinal leech, usually of the Hirudo genus (e.g. Hirudo medicinalis, Hirudo verbana), usually intended to be applied to the skin in order to restore or improve local blood flow or to provide other local effects. After attaching itself to the host, the leech creates an incision in the skin and secretes saliva containing a variety of active substances (e.g. anaesthetics, anticoagulants, anti-inflammatories, vasodilators) that allow it to feed on the blood of the host.","In some regions, medicinal leeches are classified as medical devices rather than medicinal products."
13116000,Lyophilisate for emulsion for injection,Solid sterile preparation for veterinary use consisting of a freeze-dried powder intended to be mixed with the specified liquid to obtain an emulsion for injection.,
13118000,Tablet with sensor,"Solid single-dose preparation consisting of a tablet intended for oral use, in which one or more ingestible sensors are embedded. The sensor is usually not digested, and is usually intended for use with external diagnostic equipment to which it can transmit data such as physiological and behavioural measurements.",
13123000,Urethral ointment,Semi-solid preparation consisting of an ointment intended for urethral use by means of a suitable applicator.,
13124000,Medicinal larvae,"Whole, live, medicinal larvae, usually of a species of fly such as Lucilla sericata (common greenbottle fly), provided in an appropriate container such as a mesh bag, intended to be applied to a wound and covered with an appropriate dressing in order to allow debridement of necrotic tissue over a specified period of time (usually a few days). The larvae secrete enzymes into the wound, liquefying the necrotic tissue, and ingest the resulting material.","In some regions, medicinal larvae are classified as medical devices rather than medicinal products."
13126000,Prolonged-release dispersion for injection,"Liquid sterile preparation consisting of two or more phases of which at least one is dispersed in the liquid phase, intended for administration by injection; the active substance(s) are released over an extended period of time. To be used only when 'Prolonged-release emulsion for injection' is not appropriate. Solid suspension preparations are excluded.",
13127000,Sublingual lyophilisate,"Solid single-dose preparation made by freeze-drying of a liquid or semi-solid preparation, intended for sublingual use.",
13128000,Prolonged-release wound solution,"Liquid sterile preparation consisting of a solution intended to be administered onto a wound, including surgical wounds; the active substance(s) are released over an extended period of time.",
13129000,Nebuliser dispersion,Liquid preparation consisting of a dispersion intended for inhalation use. The dispersion is converted into an aerosol by a continuously operating nebuliser or a metered-dose nebuliser.,
13133000,Gastro-resistant oral suspension,"Liquid single-dose or multidose, delayed-release preparation consisting of a suspension intended for oral use. The preparation is intended to resist the gastric fluid and release the active substance(s) in the intestinal fluid. Each dose from a multidose container is administered by means of a device suitable for measuring the prescribed volume, generally 5 mL or multiples thereof.",
13134000,Prolonged-release oral suspension,"Liquid single-dose or multidose preparation consisting of a suspension intended for oral use, showing a slower release of the active substance(s) than that of a conventional-release oral suspension. This deliberate modification is achieved by a special formulation design and/or manufacturing method. Each dose from a multidose container is administered by means of a device suitable for measuring the prescribed volume, generally 5 mL or multiples thereof.",
13135000,Modified-release oral suspension,"Liquid single-dose or multidose preparation consisting of a suspension intended for oral use, showing a rate, a place and/or a time of release of the active substance(s) that is different from that of a conventional-release oral suspension. This deliberate modification is achieved by a special formulation design and/or manufacturing method. The generic term 'Modified-release oral suspension' is used only when the more-specific terms 'Gastro-resistant oral suspension' or 'Prolonged-release oral suspension' do not apply. Each dose from a multidose container is administered by means of a device suitable for measuring the prescribed volume, generally 5 mL or multiples thereof.",
13136000,Gastro-resistant powder for oral suspension,Solid preparation consisting of a gastro-resistant powder intended to be dispersed in the specified liquid to obtain a gastro-resistant oral suspension.,
13139000,Concentrate for dispersion for injection,Liquid sterile preparation intended to be diluted in the specified liquid to obtain a dispersion for injection.,
13140000,Cutaneous/oromucosal solution,"Non-sterile, liquid preparation consisting of a solution intended for cutaneous or oromucosal use; it is not intended for use on injured skin.",This term is only to be used in cases where there is not a single predominant route of administration for the medicinal product.
13141000,Oromucosal pouch,"Solid single-dose preparation consisting of a small bag made of a suitable material containing a preparation such as a powder; it is intended to be placed in the oral cavity to obtain either a systemic or a local effect by delivering the active substance(s) over a certain period of time, after which it is then removed.",
13145000,Impregnated cutaneous swab,"Solid preparation consisting of a piece of absorbent material impregnated usually with a liquid preparation, intended to be applied to the skin for a limited period of time with one or more wiping motions, and which may be attached to an application device such as a stick. Impregnated pad is excluded.",
13148000,Prolonged-release pessary,"Solid, single-dose preparation usually prepared by moulding, of various shapes, usually ovoid, with a volume and consistency suitable for insertion into the vagina to obtain a local effect. It contains one or more active substances dispersed or dissolved in a suitable basis that may be soluble or dispersible in water or may melt at body temperature. It shows a slower release of the active substance(s) than that of a conventional-release pessary. Prolonged release is achieved by a special formulation design and/or manufacturing method.",
13149000,Oromucosal film,"Solid preparation consisting of a single- or multilayer sheet of suitable material(s) intended for oromucosal use. It is applied to the oral cavity or onto specific parts of the oral cavity, usually to obtain a systemic effect. Where a preparation is intended for use only at a single specific part of the oral cavity, the appropriate specific term (e.g. Buccal film, Sublingual film) is used instead.",
13152000,Concentrate for emulsion for injection,Liquid sterile preparation intended to be diluted in the specified liquid in order to obtain an emulsion for injection.,
13154000,Film-coated granules,"Solid preparation intended for oral use, consisting of granules coated with a thin polymeric film that dissolves within a few minutes in the gastrointestinal fluid. Film-coated granules are intended for oral use to release active substance(s) at a rate that is not significantly delayed compared to that of the uncoated granules.",
13158000,Effervescent tablet for oculonasal suspension,Solid preparation for veterinary use consisting of an effervescent tablet intended to be dispersed in the specified liquid to create an oculonasal suspension.,
13159000,"Eye drops, prolonged-release solution",Liquid sterile single-dose or multidose preparation consisting of an aqueous or oily solution intended for ocular use; the active substance(s) are released over an extended period of time. Multidose preparations are presented in containers that allow successive drops to be administered. The containers contain usually at most 10 mL of the preparation.,
13162000,Concentrate for cutaneous emulsion,Liquid preparation intended to be diluted in the specified liquid to obtain a cutaneous emulsion.,
30047500,Pouch,,"Use discouraged as a pharmaceutical dose form since it does not include information related to its intended use; a specific term such as 'Oromucosal pouch' is to be used instead. Furthermore, the term 'Pouch' on its own may be used to describe an item of intermediate or outer packaging."
50001000,Chewable/dispersible tablet,"Solid single-dose preparation consisting of an uncoated tablet intended either to be chewed before being swallowed, or to be dispersed in the specified liquid before being swallowed.",
50009000,"Concentrate for cutaneous spray, emulsion",Liquid preparation intended to be diluted in the specified liquid to obtain a cutaneous spray emulsion.,
50009300,Concentrate for dispersion for infusion,Liquid sterile preparation intended to be diluted in the specified liquid to obtain a dispersion for infusion.,
50009500,Concentrate for emulsion for infusion,Liquid sterile preparation intended to be diluted in the specified liquid to obtain an emulsion for infusion.,
50009750,Concentrate for intravesical solution,Liquid preparation intended to be diluted in the specified liquid to obtain an intravesical solution.,
50010000,Concentrate for oral solution,Liquid preparation intended to be diluted in the specified liquid to obtain an oral solution.,
50011000,Concentrate for oral/rectal solution,Liquid preparation intended to be diluted in the specified liquid to obtain an oral/rectal solution.,This term is only to be used in cases where there is not a single predominant route of administration for the medicinal product.
50012000,Concentrate for peritoneal dialysis solution,,Use discouraged.
50013000,Concentrate for solution for intravesical use,,Use discouraged.
50013250,Concentrate for solution for peritoneal dialysis,Liquid sterile preparation intended to be diluted in the specified liquid to obtain a solution for peritoneal dialysis.,
50013500,Concentrate for spray emulsion,,
50014000,Concentrate for suspension for infusion,,"Use discouraged. For safety reasons, solid-particle suspensions are not for intravenous use, which is the primary route of administration for infusions. Liquid dispersed formulations, other than solid-particle suspensions and emulsions, are referred to as dispersions."
50015000,Cutaneous and nasal ointment,,Use discouraged.
50015100,Cutaneous/ear drops suspension,,"Use discouraged; use instead 'Cutaneous suspension' or 'Ear drops, suspension' as appropriate, according to the Marketing Authorisation. If alternative uses are authorised, they should be described in the product information."
50015200,Cutaneous/nasal ointment,Semi-solid preparation consisting of an ointment intended for cutaneous or nasal use.,This term is only to be used in cases where there is not a single predominant route of administration for the medicinal product.
50015300,Cutaneous/oromucosal/oral solution,,Term rejected. Separate marketing authorisations should be sought for such products owing to different microbiological requirements.
50015400,Cutaneous/oromucosal spray,,Term rejected. Separate marketing authorisations should be sought for such products owing to different microbiological requirements for the routes of administration covered.
50015450,Cutaneous solution/concentrate for oromucosal solution,Liquid preparation consisting of a solution intended for cutaneous use or intended to be diluted in the specified liquid to obtain an oromucosal solution.,This term is only to be used in cases where there is not a single predominant route of administration for the medicinal product.
50015500,"Cutaneous spray, emulsion","Liquid preparation, usually multidose, consisting of an emulsion in a pressurised container with a spray valve or in a container equipped with a spray pump, intended for cutaneous use.",
50016000,"Cutaneous spray, ointment",Ointment formed at the time of administration from a liquid preparation in a pressurised container with a spray valve or in a container equipped with a spray pump.,
50017000,Dental paste,"Semi-solid single-dose or multidose preparation consisting of solid particles finely dispersed in a suitable basis, intended for administration on or inside the tooth or on and/or around the nerves supplying the teeth. Toothpaste is excluded.",
50017500,Dispersion for infusion,"Liquid sterile preparation consisting of two or more phases of which at least one is dispersed in the liquid phase, intended to be introduced, usually in large volumes, usually into the circulating blood stream. To be used only when emulsion for infusion is not appropriate. Solid suspension preparations are excluded.",
50018000,"Ear/eye drops, solution",Liquid sterile preparation consisting of a solution intended for use as ear drops or eye drops.,This term is only to be used in cases where there is not a single predominant route of administration for the medicinal product.
50018500,"Ear/eye drops, suspension",Liquid sterile preparation consisting of a suspension intended for use as ear drops or eye drops.,This term is only to be used in cases where there is not a single predominant route of administration for the medicinal product.
50019000,Ear/eye ointment,Semi-solid preparation consisting of an ointment intended for auricular or ocular use.,This term is only to be used in cases where there is not a single predominant route of administration for the medicinal product.
50019500,"Ear/eye/nasal drops, solution","Liquid sterile preparation consisting of a solution intended for use as ear drops, eye drops or nasal drops.",This term is only to be used in cases where there is not a single predominant route of administration for the medicinal product.
50020000,"Ear/eye/nose drops, solution",,Use discouraged.
50020200,"Ear/nasal drops, suspension",Liquid preparation consisting of a suspension intended for use as ear drops or nasal drops.,This term is only to be used in cases where there is not a single predominant route of administration for the medicinal product.
50020500,Effervescent buccal tablet,,"Term rejected. 'Effervescent' implies that the tablet disintegrates rapidly in the presence of water; this is not appropriate for buccal tablets, which are intended to disintegrate over an extended period of time."
50021000,Emulsion for injection/infusion,Liquid sterile single-dose or multidose preparation consisting of an emulsion intended for administration by injection or infusion.,The preparation is usually diluted before administration by infusion.
50022000,"Endosinusial wash, suspension",Liquid preparation consisting of a suspension intended for cleaning the sinuses.,
50023500,Film coated gastro-resistant tablet,,Term rejected. The important characteristic is that the tablet is a gastro-resistant formulation.
50024000,Gargle/mouthwash,Liquid preparation consisting of a solution intended for use as a gargle or a mouthwash.,This term is only to be used in cases where there is not a single predominant route of administration for the medicinal product.
50024500,Gargle/nasal wash,Liquid preparation consisting of a solution intended for use as a gargle or a nasal wash.,This term is only to be used in cases where there is not a single predominant route of administration for the medicinal product.
50025000,Gastro-resistant coated tablet,,Use discouraged. The important characteristic is that the tablet is a gastro-resistant formulation.
50026000,Gastro-resistant granules for oral suspension,Solid preparation consisting of gastro-resistant granules intended to be dispersed in the specified liquid to obtain a gastro-resistant oral suspension.,
50026250,Gastro-resistant prolonged-release tablet,,Use discouraged. The important characteristic is that the tablet is a prolonged-release formulation.
50028000,Granules for oral and rectal suspension,,Use discouraged.
50029000,"Granules for oral drops, solution",,Use discouraged.
50029150,Granules for oral/rectal suspension,Solid preparation consisting of granules intended to be dispersed in the specified liquid to obtain an oral/rectal suspension.,This term is only to be used in cases where there is not a single predominant route of administration for the medicinal product.
