code,term,definition,comment,status,domain,modification_date,creation_date
11303000,Implantation chain,Solid sterile preparation consisting of small spheres mounted on a non-degradable thread to form a chain that allows withdrawal of the remainder of the chain after a certain period of action. Each implantation chain is presented in a sterile container. The implantation chain is intended for release over an extended period of time in order to obtain local or systemic effect.,,Current,Human and Veterinary,2016-03-30 11:20:59,2006-03-14 00:00:00
11303300,Implantation matrix,"Solid sterile preparation consisting of a usually pliable, absorbent piece of material (e.g. collagen), usually impregnated with a liquid preparation, intended for implantation in the body. The material may be cut into smaller pieces before implantation, and may be shaped around a tissue (e.g. a bone) or inserted into a medical device that is then implanted. Implantation matrices are intended for release over an extended period of time, usually in order to obtain a local effect. Usually the matrix disappears with time. When the product is packaged as a separate matrix, powder and solvent (or matrix and solution), which are used to prepare the implantation matrix immediately before use, the appropriate combined term should be used; see for example ‘Powder, solvent and matrix for implantation matrix’.",,Current,Human and Veterinary,2012-10-24 15:09:04,2012-10-24 15:09:04
11303500,Implantation suspension,Liquid sterile preparation consisting of a suspension intended for implantation in the body; the active substance(s) are released over an extended period of time to obtain a local or systemic effect.,,Current,Human and Veterinary,2016-03-30 08:38:20,2006-03-14 00:00:00
11303750,Kit for implant,,"Term rejected. The term 'kit' is restricted for use in the field of radiopharmaceuticals (see 'Kit for radiopharmaceutical preparation'). It is not to be used to describe combinations of manufactured items that are to be reconstituted to form an administrable pharmaceutical product, for which an appropriate combined term should be used instead.",Rejected,Human and Veterinary,2014-09-04 14:33:32,2012-10-24 16:04:16
11401000,Solution for peritoneal dialysis,"Liquid sterile preparation consisting of an aqueous solution containing electrolytes with a concentration close to the electrolytic composition of plasma and glucose in varying concentrations or other suitable osmotic agents, intended for intraperitoneal use as a dialysis solution.",,Current,Human and Veterinary,2016-03-30 06:35:33,2006-03-14 00:00:00
11402000,Solution for haemofiltration,"Liquid sterile preparation consisting of an aqueous solution containing electrolytes with a concentration close to the electrolytic composition of plasma, intended for parenteral use in haemofiltration. Glucose may be included.",,Current,Human and Veterinary,2016-04-08 09:25:55,2006-03-14 00:00:00
11403000,Solution for haemodiafiltration,"Liquid sterile preparation consisting of an aqueous solution containing electrolytes with a concentration close to the electrolytic composition of plasma, intended for parenteral use in haemodiafiltration. Glucose may be included.",,Current,Human and Veterinary,2016-03-30 06:24:00,2006-03-14 00:00:00
11404000,Solution for haemodialysis,"Liquid preparation consisting of an aqueous solution containing electrolytes with a concentration close to the electrolytic composition of plasma, intended for use in haemodialysis. Glucose may be included.",,Current,Human and Veterinary,2016-03-30 06:25:08,2006-03-14 00:00:00
11405000,Concentrate for solution for haemodialysis,Liquid preparation consisting of an aqueous solution of electrolytes intended to be diluted with water of a suitable quality to obtain a solution for haemodialysis. Glucose may be included.,,Current,Human and Veterinary,2015-07-23 15:26:16,2006-03-14 00:00:00
11501000,Solution for intravesical use,,Use discouraged.,Deprecated,Human and Veterinary,2014-09-04 13:12:30,2006-03-14 00:00:00
11502000,Bladder irrigation,Sterile liquid preparation consisting of sterilised water or an aqueous solution intended for irrigation of the urinary bladder.,,Current,Human and Veterinary,2016-03-30 04:58:57,2006-03-14 00:00:00
11502500,Intravesical solution,Liquid preparation consisting of an aqueous solution intended for intravesical use by means of a suitable applicator. 'Bladder irrigation' is excluded.,,Current,Human and Veterinary,2016-03-30 05:19:53,2010-10-06 10:09:20
11503000,Powder for bladder irrigation,"Solid sterile preparation consisting of one or more powders, including freeze-dried powders, intended to be dissolved in sterile water to obtain a bladder irrigation.",,Current,Human and Veterinary,2016-03-30 18:22:19,2006-03-14 00:00:00
11504000,Urethral gel,Semi-solid preparation consisting of a gel intended for urethral use by means of a suitable applicator.,,Current,Human and Veterinary,2016-03-30 10:14:58,2006-03-14 00:00:00
11505000,Urethral stick,"Solid sterile single-dose preparation, usually rod-shaped and of a size adapted to the dimensions of the urethra, intended for insertion into the urethra. They may be prepared by compression or moulding.",,Current,Human and Veterinary,2016-03-30 19:09:18,2006-03-14 00:00:00
11601000,"Endotracheopulmonary instillation, solution",Liquid preparation consisting of an aqueous solution intended for instillation to the trachea and/or bronchi. Preparations for inhalation use are excluded.,,Current,Human and Veterinary,2018-08-09 14:52:28,2006-03-14 00:00:00
11602000,"Endotracheopulmonary instillation, powder for solution","Solid preparation consisting of one or more powders, including freeze-dried powders, intended to be dissolved in the specified liquid to obtain an endotracheopulmonary instillation solution.",,Current,Human and Veterinary,2016-03-30 17:37:12,2006-03-14 00:00:00
11603000,"Endotracheopulmonary instillation, suspension",Liquid preparation consisting of an aqueous suspension intended for instillation to the trachea and/or bronchi. Preparations for inhalation use are excluded.,,Current,Human and Veterinary,2018-08-09 14:54:30,2006-03-14 00:00:00
11701000,Endocervical gel,Semi-solid preparation consisting of a gel intended for endocervical use by means of a suitable applicator.,,Current,Human and Veterinary,2016-03-30 09:49:03,2006-03-14 00:00:00
11801000,Intramammary solution,Liquid sterile preparation for veterinary use consisting of a solution intended for intramammary use. Intramammary solutions are presented in intramammary syringes for use on one occasion only to introduce the solution into a single teat canal.,,Current,Veterinary only,2016-03-30 05:16:23,2006-03-14 00:00:00
11802000,Intramammary suspension,Liquid sterile preparation for veterinary use consisting of a suspension intended for intramammary use. Intramammary suspensions are presented in intramammary syringes for use on one occasion only to introduce the suspension into a single teat canal.,,Current,Veterinary only,2016-03-30 08:39:41,2006-03-14 00:00:00
11803000,Intramammary emulsion,Liquid sterile preparation for veterinary use consisting of an emulsion intended for intramammary use. Intramammary emulsions are presented in intramammary syringes for use on one occasion only to introduce the emulsion into a single teat canal.,,Current,Veterinary only,2016-03-30 04:36:27,2006-03-14 00:00:00
11804000,Intramammary ointment,Semi-solid sterile preparation for veterinary use consisting of an ointment containing dissolved or dispersed active substance(s) intended for intramammary use. Intramammary ointments are presented in intramammary syringes for use on one occasion only to introduce the ointment into a single teat canal.,,Current,Veterinary only,2016-03-30 10:22:44,2006-03-14 00:00:00
11805000,Teat stick,"Solid single-dose preparation for veterinary use, usually rod shaped, intended to be inserted into the teat canal of an animal where it melts or dissolves.",,Current,Veterinary only,2016-03-30 19:07:56,2006-03-14 00:00:00
11901000,Intrauterine delivery system,Solid single-dose delivery system intended for intrauterine use that releases its contents of active substance(s) over an extended period of time.,,Current,Human and Veterinary,2016-03-30 19:41:38,2006-03-14 00:00:00
11902000,Intrauterine solution,Liquid preparation for veterinary use consisting of a solution intended for intrauterine use.,,Current,Veterinary only,2016-03-30 05:18:48,2006-03-14 00:00:00
11903000,Intrauterine suspension,Liquid preparation for veterinary use consisting of a suspension intended for intrauterine use.,,Current,Veterinary only,2016-03-30 08:40:32,2006-03-14 00:00:00
11904000,Intrauterine emulsion,Liquid preparation for veterinary use consisting of an emulsion intended for intrauterine use.,,Current,Veterinary only,2016-03-30 04:37:25,2006-03-14 00:00:00
11905000,Intrauterine tablet,"Solid single-dose preparation for veterinary use prepared by compression or moulding into tablets of a size and shape suited for administration to the uterus, including preparations releasing their contents over an extended period of time.",,Current,Veterinary only,2016-03-30 19:23:49,2006-03-14 00:00:00
11906000,Intrauterine capsule,"Solid single-dose preparation for veterinary use consisting of a soft capsule containing a liquid or semi-solid preparation intended for intrauterine use, including preparations releasing their contents over an extended period of time.",,Current,Veterinary only,2016-03-30 10:38:12,2006-03-14 00:00:00
12001000,Bee-hive strip,Solid preparation for veterinary use consisting of a matrix impregnated with active substance(s) that are released by vaporisation or physical contact over an extended period of time. Any specific requirements for the placing of the bee-hive strip are described in the product information.,,Current,Veterinary only,2016-03-30 11:26:15,2006-03-14 00:00:00
12001500,Bee-hive gel,"Semi-solid multidose preparation intended for veterinary use, consisting of a gel from which the active substance(s) are released by vaporisation or physical contact over an extended period of time.",,Current,Veterinary only,2018-08-09 14:31:33,2010-06-22 15:52:33
12002000,Bee smoke paper,"Solid preparation for veterinary use consisting of an impregnated paper that, when lit, delivers smoke containing active substance(s).",,Current,Veterinary only,2016-03-30 11:21:59,2006-03-14 00:00:00
12003000,Bee smoke stick,"Solid preparation for veterinary use consisting of an impregnated stick that, when lit, delivers smoke containing active substance(s).",,Current,Veterinary only,2016-03-30 11:24:15,2006-03-14 00:00:00
12004000,Nebulisation solution,Liquid preparation for veterinary use consisting of a solution intended for conversion by nebulisers into an aerosol for mass medication. Products intended for the treatment of individual animals are excluded.,,Current,Veterinary only,2016-03-30 05:35:35,2006-03-14 00:00:00
12100500,Absorbable coated sponge,,Term rejected.,Rejected,Human and Veterinary,2014-09-04 14:49:05,2009-07-07 15:41:36
12101000,Denture lacquer,Liquid preparation to be applied to dentures to form a lacquer by evaporation of the volatile solvent.,,Current,Human and Veterinary,2016-03-30 04:48:07,2006-03-14 00:00:00
12102000,Anticoagulant and preservative solution for blood,Liquid sterile preparation consisting of an aqueous solution to be mixed with extracorporeal blood.,,Current,Human and Veterinary,2016-03-30 04:56:02,2006-03-14 00:00:00
12103000,Solution for blood fraction modification,Liquid sterile preparation consisting of a solution intended for use in extracorporeal modification of a blood fraction that is returned to the patient following modification.,,Current,Human and Veterinary,2016-03-30 06:20:55,2006-03-14 00:00:00
12104000,Wound stick,"Solid sterile single-dose preparation, usually rod-shaped or conical, consisting of active substance(s) dissolved or dispersed in a suitable basis that may dissolve or melt at body temperature, intended to be inserted into wounds.",,Current,Human and Veterinary,2016-03-30 19:15:16,2006-03-14 00:00:00
12105000,Radiopharmaceutical precursor,A radionuclide produced for the radio-labelling of another substance prior to administration.,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
12106000,Radionuclide generator,A system incorporating a fixed parent radionuclide from which is produced a daughter radionuclide which is to be removed by elution or by any other method and used in a radiopharmaceutical.,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
12107000,Kit for radiopharmaceutical preparation,"A preparation to be reconstituted or combined with radionuclides in the final radiopharmaceutical, usually prior to its administration. The word radiopharmaceutical may be omitted if there is no ambiguity on the radiopharmaceutical nature of the product. Combinations with other standard terms are not recommended.",,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
12108000,Gastroenteral solution,Liquid preparation consisting of a solution intended for administration to the stomach or duodenum by means of a suitable applicator.,,Current,Human and Veterinary,2016-03-30 05:14:10,2006-03-14 00:00:00
12109000,Dispersion,A system consisting of 2 or more phases. To be used only when suspension or emulsion is not appropriate.,"Use discouraged. This term does not describe a pharmaceutical dose form since it does not include any information relating to its intended use, and specific terms such as 'Dispersion for infusion', 'Dispersion for injection' and 'Bee-hive dispersion' are to be used instead.",Deprecated,Human and Veterinary,2016-10-14 16:45:23,2006-03-14 00:00:00
12109900,Frozen solution for sealant,,Term rejected. Storage conditions such as 'frozen' are not appropriate when describing Standard Terms.,Rejected,Human and Veterinary,2014-09-04 14:49:54,2011-03-28 15:02:42
12110000,Gastroenteral suspension,Liquid preparation consisting of a suspension intended for administration to the stomach or duodenum by means of a suitable applicator.,,Current,Human and Veterinary,2016-03-30 08:36:17,2006-03-14 00:00:00
12111000,Gastroenteral emulsion,Liquid preparation consisting of an emulsion intended for administration to the stomach or duodenum by means of a suitable applicator.,,Current,Human and Veterinary,2016-03-30 04:33:58,2006-03-14 00:00:00
12111500,Intraperitoneal solution,Liquid sterile preparation consisting of a solution intended for intraperitoneal use. 'Solution for peritoneal dialysis' is excluded.,,Current,Human and Veterinary,2016-03-30 05:17:41,2010-11-29 14:43:24
12112000,Solution for organ preservation,"Liquid sterile preparation consisting of an aqueous solution of electrolytes typically at a concentration close to the intracellular electrolyte composition, intended for storage, protection and/or perfusion of mammalian body organs that are in particular destined for transplantation.",,Current,Human and Veterinary,2016-03-30 06:34:09,2006-03-14 00:00:00
12113000,Irrigation solution,"Liquid sterile preparation consisting of a large-volume aqueous solution intended for irrigation of body cavities, wounds and surfaces, for example during surgical procedures. Irrigation solutions are either solutions of active substance(s), electrolytes or osmotically active substances in water for injections, or they consist of water for injections as such.",,Current,Human and Veterinary,2016-03-30 05:26:51,2006-03-14 00:00:00
12114000,Stomach irrigation,Liquid sterile preparation consisting of an aqueous solution intended for irrigation of the stomach.,,Current,Human and Veterinary,2016-03-30 07:09:10,2006-03-14 00:00:00
12115000,Sealant,"Liquid, more or less viscous, sterile preparation intended for use as tissue glue.",,Current,Human and Veterinary,2016-03-30 05:51:22,2006-03-14 00:00:00
12115100,Sealant matrix,"Solid sterile preparation consisting of a pliable piece of material impregnated or coated with a sealant or with a powder that forms a sealant after contact with an appropriate fluid (e.g. blood). It may act as a haemostatic agent and/or tissue glue. The matrix may itself form part of the seal, and is usually absorbed by the body over time.",,Current,Human and Veterinary,2016-03-30 11:53:05,2013-06-24 14:55:54
12115200,Sealant powder,"Solid sterile preparation consisting of one or more powders, including freeze-dried powders, intended to be applied directly onto the intended site (e.g. a lesion) to form a haemostatic agent and/or tissue glue after contact with an appropriate fluid (e.g. blood).",Please note that this term is not equivalent to the term 'Powder for sealant'.,Current,Human and Veterinary,2016-03-30 19:02:37,2014-06-27 16:26:20
12115500,Solution for perfusion of organs,,"Term rejected. Such uses are covered by the term 'Solution for organ preservation', and specific uses should be explained in the product information.",Rejected,Human and Veterinary,2014-09-04 14:52:49,2009-07-07 16:15:49
12117000,Impregnated pad,Solid preparation consisting of a piece of absorbent material impregnated with a liquid preparation. Impregnated cutaneous swab is excluded.,,Current,Human and Veterinary,2021-06-03 14:04:35,2006-03-14 00:00:00
12117500,Impregnated plug,"Solid preparation consisting of a piece of material (e.g. polyethylene), usually porous, in which a liquid, semi-solid or solid preparation is impregnated. Implants, pads, sponges and tampons are excluded.",,Current,Human and Veterinary,2016-03-30 11:41:09,2012-05-23 16:25:22
12118000,Living tissue equivalent,"Cultured, living tissue used for the reconstruction of parts of the body. The tissue may consist of ex vivo expanded cells with an extracellular matrix. Where appropriate, the tissue of origin, such as epidermis, dermis, cartilage or muscle, will need to be stated elsewhere in the product information.",,Current,Human and Veterinary,2015-07-22 08:53:03,2006-03-14 00:00:00
12118500,Lyophilisate for oculonasal suspension,Solid preparation for veterinary use consisting of a freeze-dried powder intended to be dispersed in the specified liquid to create a suspension for oculonasal use.,,Current,Veterinary only,2016-03-30 17:12:22,2012-06-27 08:54:33
12119000,Medicated sponge,Solid preparation consisting of a sponge impregnated with active substance(s); different routes of administration are possible.,Replaces 'cutaneous sponge' and 'vaginal sponge'.,Current,Human and Veterinary,2016-03-30 11:47:34,2006-03-14 00:00:00
12120000,Intestinal gel,Semi-solid preparation consisting of a gel intended for intestinal use.,,Current,Human and Veterinary,2016-03-30 10:09:50,2006-03-14 00:00:00
12130000,Medicated thread,Solid preparation consisting of a biodegradable or non-degradable thread impregnated with active substance(s).,,Current,Human and Veterinary,2016-03-30 11:48:20,2006-03-14 00:00:00
12131000,Solution for provocation test,"Liquid preparation consisting of a solution containing an allergen intended for provocation testing by the nasal, ocular or bronchial routes.",,Current,Human and Veterinary,2016-03-30 06:36:50,2006-03-14 00:00:00
12301000,"Medicinal gas, compressed",A gas packaged under pressure which is entirely gaseous at - 50 °C.,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
12302000,"Medicinal gas, cryogenic",A gas which liquifies at 1.013 bar at a temperature below -150 °C.,,Current,Human and Veterinary,2018-08-09 15:08:07,2006-03-14 00:00:00
12303000,"Medicinal gas, liquefied","A gas packaged under pressure, which is partially liquid (gas over liquid) at -50 °C.",,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
13001000,Concentrate for concentrate for solution for infusion,"Liquid sterile preparation intended to be diluted in the specified liquid to obtain a concentrate for solution for infusion, which in turn is intended to be diluted in the specified liquid to obtain a solution for infusion.","This term is only to be used in cases where, for safety reasons, both dilution steps must always be carried out before administration.",Current,Human and Veterinary,2015-07-22 11:13:29,2013-11-28 11:33:55
13002000,Concentrate for nebuliser solution,Liquid preparation intended to be diluted in the specified liquid to obtain a nebuliser solution.,,Current,Human and Veterinary,2015-07-22 11:14:30,2013-11-28 11:33:55
13003000,Concentrate for oromucosal solution,Liquid preparation intended to be diluted in the specified liquid to obtain an oromucosal solution.,,Current,Human and Veterinary,2015-07-22 11:15:23,2013-11-28 11:33:55
13004000,Concentrate for suspension for injection,Liquid sterile preparation intended to be diluted in the specified liquid to obtain a suspension for injection.,,Current,Human and Veterinary,2015-07-22 11:16:13,2013-11-28 11:33:55
13005000,Dispersion for concentrate for dispersion for infusion,"Liquid sterile preparation consisting of a dispersion intended for use in the preparation of a concentrate for dispersion for infusion, which in turn is intended to be diluted in the specified liquid to obtain a dispersion for infusion.",,Current,Human and Veterinary,2015-07-22 11:17:00,2013-11-28 11:33:55
13006000,"Ear drops, powder for suspension","Solid preparation consisting of one or more powders, including freeze-dried powders, intended to be dispersed in the specified liquid to obtain an ear drops suspension.",,Current,Human and Veterinary,2015-07-22 11:17:50,2013-11-28 11:33:55
13007000,Effervescent granules for oral suspension,"Solid preparation consisting of effervescent granules intended to be dispersed or dissolved in the specified liquid, which is supplied in the same packaging, to obtain an oral suspension. Where the granules are intended to be dispersed in water, the term 'Effervescent granules' is used instead.",,Current,Human and Veterinary,2015-07-22 11:18:41,2013-11-28 11:33:55
13008000,Emulsion for emulsion for injection,Liquid sterile preparation consisting of an emulsion intended for use in the preparation of an emulsion for injection.,,Current,Human and Veterinary,2015-07-22 11:19:23,2013-11-28 11:33:55
13009000,"Endotracheopulmonary instillation, powder for suspension","Solid preparation consisting of one or more powders, including freeze-dried powders, intended to be dispersed in the specified liquid to obtain an endotracheopulmonary instillation suspension.",,Current,Human and Veterinary,2015-07-22 11:19:58,2013-11-28 11:33:55
13010000,"Eye drops, powder for solution","Solid sterile preparation consisting of one or more powders, including freeze-dried powders, intended to be dissolved in the specified liquid to obtain an eye drops solution.",,Current,Human and Veterinary,2015-07-22 11:20:49,2013-11-28 11:33:55
13011000,"Eye drops, powder for suspension","Solid preparation consisting of one or more powders, including freeze-dried powders, intended to be dispersed in the specified liquid to obtain an eye drops suspension.",,Current,Human and Veterinary,2015-07-22 11:21:29,2013-11-28 11:33:55
13012000,Gas for dispersion for infusion,"Sterile preparation consisting of a gas that is intended to be mixed with the specified liquid to obtain a dispersion of the gas in the liquid, which is intended for administration by infusion.",,Current,Human and Veterinary,2015-07-22 11:22:10,2013-11-28 11:33:55
13013000,Gas for dispersion for injection,"Sterile preparation consisting of a gas that is intended to be mixed with the specified liquid to obtain a dispersion of the gas in the liquid, which is intended for administration by injection.",,Current,Human and Veterinary,2015-07-22 11:22:48,2013-11-28 11:33:55
13014000,Gel for gel,Semi-solid preparation consisting of a gel intended for use in the preparation of a gel for cutaneous use.,,Current,Human and Veterinary,2015-07-22 11:23:44,2013-11-28 11:33:55
13015000,Granules for rectal suspension,"Solid preparation consisting of aggregated particles that may include excipients to facilitate wetting and dispersion, intended to be dispersed in the specified liquid to obtain a rectal suspension, which is usually prepared just before administration to the patient.",,Current,Human and Veterinary,2016-03-30 11:08:36,2013-11-28 11:33:55
13016000,Laryngopharyngeal solution,"Liquid preparation consisting of a solution intended for administration to the laryngopharynx for a local effect, other than by spraying.","'Laryngopharyngeal spray, solution' is excluded.",Current,Human and Veterinary,2015-07-22 11:25:08,2013-11-28 11:33:55
13017000,"Laryngopharyngeal spray, solution",Liquid preparation consisting of a solution intended for spraying onto the laryngopharynx for a local effect.,'Laryngopharyngeal solution' is excluded.,Current,Human and Veterinary,2015-07-22 11:26:29,2013-11-28 11:33:55
13018000,Matrix for implantation matrix,"Solid sterile preparation consisting of a usually pliable, absorbent piece of material (e.g. collagen) intended to be used in the preparation of an implantation matrix.",,Current,Human and Veterinary,2015-07-22 11:27:02,2013-11-28 11:33:55
13019000,"Nasal drops, lyophilisate for suspension",Solid preparation for veterinary use consisting of a freeze-dried powder intended to be dispersed in the specified liquid to obtain a suspension for use as nasal drops.,,Current,Veterinary only,2015-07-22 11:28:12,2013-11-28 11:33:55
13020000,"Nasal drops, powder for solution","Solid preparation consisting of one or more powders, including freeze-dried powders, intended to be dissolved in the specified liquid to obtain a nasal drops solution.",,Current,Human and Veterinary,2015-07-22 11:52:58,2013-11-28 11:33:55
13021000,Powder for gel,Solid preparation consisting of one or more powders intended to be mixed with the specified liquid or gel to obtain a gel (for cutaneous use).,,Current,Human and Veterinary,2015-07-22 13:31:07,2013-11-28 11:33:55
13022000,Powder for dental gel,Solid preparation consisting of one or more powders intended to be mixed with the specified liquid or gel to obtain a dental gel.,,Current,Human and Veterinary,2015-07-22 13:31:51,2013-11-28 11:33:55
13023000,Powder for dispersion for injection,"Solid sterile preparation consisting of one or more powders, including freeze-dried powders, intended to be dispersed in the specified liquid to obtain a dispersion for injection.",,Current,Human and Veterinary,2015-07-22 13:32:36,2013-11-28 11:33:55
13024000,Powder for endocervical gel,Solid preparation consisting of one or more powders intended to be mixed with the specified liquid or gel to obtain an endocervical gel.,,Current,Human and Veterinary,2015-07-22 13:33:12,2013-11-28 11:33:55
13025000,Powder for endosinusial solution,"Solid preparation consisting of one or more powders, including freeze-dried powders, intended to be dissolved in the specified liquid to obtain an endosinusial solution.",,Current,Human and Veterinary,2015-07-22 13:33:53,2013-11-28 11:33:55
13026000,Powder for gingival gel,Solid preparation consisting of one or more powders intended to be mixed with the specified liquid or gel to obtain a gingival gel.,,Current,Human and Veterinary,2015-07-22 13:34:32,2013-11-28 11:33:55
13027000,Powder for implantation matrix,"Solid sterile preparation consisting of one or more powders, including freeze-dried powders, intended to be used in the preparation of an implantation matrix, e.g. by dissolving in the specified liquid to prepare the solution used to impregnate the matrix.",,Current,Human and Veterinary,2015-07-22 13:35:07,2013-11-28 11:33:55
13028000,Powder for implantation paste,Solid sterile preparation consisting of one or more powders intended to be mixed with the specified liquid or paste to obtain an implantation paste.,,Current,Human and Veterinary,2015-07-22 13:35:46,2013-11-28 11:33:55
13029000,Powder for intraocular instillation solution,"Solid sterile preparation consisting of one or more powders, including freeze-dried powders, intended to be dissolved in the specified liquid to obtain an intraocular instillation solution.",,Current,Human and Veterinary,2015-07-22 13:36:22,2013-11-28 11:33:55
13031000,Powder for sealant,"Solid sterile preparation consisting of one or more powders, including freeze-dried powders, intended to be dissolved in the specified liquid to obtain a sealant.",Please note that this term is not equivalent to the term 'Sealant powder'.,Current,Human and Veterinary,2015-07-22 11:53:53,2013-11-28 11:33:55
13032000,Powder for solution for skin-prick test,"Solid sterile preparation consisting of one or more powders, including freeze-dried powders, intended to be dissolved in the specified liquid to obtain a solution for skin-prick test.",,Current,Human and Veterinary,2015-07-22 11:54:31,2013-11-28 11:33:55
13033000,Solution for solution for injection,Liquid sterile preparation consisting of a solution intended for use in the preparation of a solution for injection.,,Current,Human and Veterinary,2015-07-22 11:55:09,2013-11-28 11:33:55
13034000,Solution for spray,Liquid preparation consisting of a solution intended for use in the preparation of a spray.,,Pending,Human and Veterinary,2013-11-28 11:33:55,2013-11-28 11:33:55
13035000,Solvent for...,"Liquid preparation consisting of an excipient that contains no active substances itself but is intended to be used in the preparation of a pharmaceutical product, e.g. for diluting/dissolving/dispersing the item(s) containing the active substance(s). The term is intended to cover all such excipients, with the particular specifications (e.g. sterility requirements) depending on the final product and its intended use.","For labelling purposes, the term should be completed by appending the name of the medicinal product that it is used to prepare, i.e. 'Solvent for [PRODUCT NAME]'.",Current,Human and Veterinary,2015-07-22 11:56:39,2013-11-28 11:33:55
13036000,Suspension for emulsion for injection,Liquid sterile preparation consisting of a suspension intended for use in the preparation of an emulsion for injection.,,Current,Human and Veterinary,2015-07-22 11:57:17,2013-11-28 11:33:55
13037000,Suspension for oral suspension,Liquid preparation consisting of a suspension intended for use in the preparation of an oral suspension.,,Current,Human and Veterinary,2015-07-22 11:58:09,2013-11-28 11:33:55
13038000,Suspension for spray,Liquid preparation consisting of a suspension intended for use in the preparation of a spray.,,Pending,Human and Veterinary,2013-11-28 11:33:55,2013-11-28 11:33:55
13039000,Suspension for suspension for injection,Liquid sterile preparation consisting of a suspension intended for use in the preparation of a suspension for injection.,,Current,Human and Veterinary,2015-07-22 12:04:22,2013-11-28 11:33:55
13040000,Powder for emulsion for injection,"Solid sterile preparation consisting of one or more powders, including freeze-dried powders, intended to be mixed with the specified liquid to obtain an emulsion for injection.",,Current,Human and Veterinary,2015-07-22 12:05:07,2013-11-28 11:33:55
13041000,Endosinusial solution,Liquid preparation consisting of a solution intended to be administered to the sinuses to obtain a local effect.,,Current,Human and Veterinary,2015-07-22 12:05:42,2013-11-28 11:33:55
13042000,Epilesional solution,Liquid sterile preparation consisting of a solution intended to be administered onto a lesion.,,Current,Human and Veterinary,2015-07-22 12:06:19,2013-11-28 11:33:55
13043000,Implantation paste,"Semi-solid sterile preparation containing large proportions of solids finely dispersed in the basis, intended to be implanted in the body for release of the active substance(s) over an extended period of time, usually to obtain a systemic effect.",,Current,Human and Veterinary,2015-07-22 12:06:53,2013-11-28 11:33:55
13044000,Intraocular instillation solution,Liquid sterile preparation consisting of a solution intended to be instilled as drops into an internal part of the eye.,"'Eye drops, solution' and 'Solution for intraocular irrigation' are excluded.",Current,Human and Veterinary,2015-07-22 12:07:27,2013-11-28 11:33:55
13045000,Intravesical suspension,Liquid preparation consisting of a small-volume suspension intended for intravesical use by means of a suitable applicator.,Products for bladder irrigation are excluded.,Current,Human and Veterinary,2015-01-12 10:15:06,2013-11-28 11:33:55
13046000,Coated granules,"Solid preparation intended for oral use, consisting of granules coated with one or more layers of mixtures of various substances that are usually applied as a solution or suspension in conditions in which evaporation of the vehicle occurs. The thickness of the coating is greater than that of film-coated granules. When the coating dissolves or disintegrates any active substance is released into the gastrointestinal fluid at a rate depending essentially on its intrinsic properties (conventional release).",,Current,Human and Veterinary,2022-03-10 09:52:12,2013-12-10 16:54:59
13047000,Solution for suspension for injection,Liquid sterile preparation consisting of a solution intended for use in the preparation of a suspension for injection.,,Current,Human and Veterinary,2015-07-22 12:08:50,2013-12-10 16:54:59
13048000,Granules for suspension for injection,Solid sterile preparation consisting of granules intended to be dispersed in the specified liquid to obtain a suspension for injection.,,Current,Human and Veterinary,2015-07-22 12:09:53,2013-12-10 16:54:59
13049000,Dispersion for injection/infusion,"Sterile liquid preparation consisting of two or more phases of which at least one is dispersed in the liquid phase, intended for administration by injection or infusion. To be used only when emulsion for injection/infusion is not appropriate. Solid suspension preparations are excluded.",,Current,Human and Veterinary,2015-10-29 15:23:57,2014-10-30 16:15:55
13050000,Gas for dispersion for injection/infusion,"Sterile preparation consisting of a gas that is intended to be mixed with the specified liquid to obtain a dispersion of the gas in the liquid, which is intended for administration by injection or infusion.",,Current,Human and Veterinary,2015-10-29 15:37:20,2014-10-30 16:17:56
13051000,Solution for injection/skin-prick test,Liquid sterile preparation consisting of a solution containing an allergen product intended for diagnostic use in a skin-prick test or as an injection (usually intraepidermal); it may also be licensed for immunotherapy treatment by injection (usually subcutaneous).,,Current,Human and Veterinary,2015-07-22 12:11:53,2014-10-31 08:02:42
13052000,Powder for solution for injection/skin-prick test,"Solid sterile preparation consisting of one or more powders, including freeze-dried powders, intended to be dissolved in the specified liquid to obtain a solution for injection/skin-prick test.",,Current,Human and Veterinary,2015-07-22 12:12:35,2014-10-31 08:06:42
13054000,Solution for bee-hive strip,Liquid preparation consisting of a solution intended for use in the preparation of a bee-hive strip by application to an absorbent matrix; the bee-hive strip is usually used immediately after preparation.,,Current,Veterinary only,2015-01-12 10:10:42,2015-01-12 10:10:42
13055000,Solution for use in drinking water/milk,"Solution for veterinary use, intended for administration by incorporation into the animal drinking water, milk or milk replacer. If direct oral administration to individual animals is also authorised, the method of administration, including any necessary dilution, is clearly described in the product information.",,Current,Veterinary only,2015-02-06 08:09:44,2015-02-06 08:09:44
13056000,Powder for solution for fish treatment,Powder to be used to produce a solution intended for the treatment of fish by immersion.,,Current,Veterinary only,2015-05-06 10:33:01,2015-05-06 10:33:01
